Country,Country_original,Country_NE,Has_Market,Has_PPA,Has_Regulated,PrimaryBucket,WB_Family_Code,WB_Family_Label,WB_Family_GroupNumber,WB_Subcode_10type,WB_Subtype_Label,Notes,RegimeEvidenceURL,RegimeEvidenceNote,ValidationStatus
South Africa,South Africa,South Africa,True,True,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Eskom legacy coal regulated; thermal IPPs under PPAs; limited merchant.,https://www.eskom.co.za/distribution/wp-content/uploads/2025/07/Tariff-booklet2.pdf,NERSA-approved Eskom tariff booklet; regulated cost-of-service for legacy fleet.,validated
Namibia,Namibia,Namibia,False,True,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,SOE-dominant; IPP PPAs for additions; no real merchant spot.,,,needs_source
Botswana,Botswana,Botswana,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,State-owned fossil generation under regulated tariffs.,,,needs_source
Zambia,Zambia,Zambia,False,True,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,ZESCO cost-of-service; selective IPP PPAs.,,,needs_source
Mozambique,Mozambique,Mozambique,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,IPP PPAs (incl. export) + regulated domestic SOE assets.,,,needs_source
Kenya,Kenya,Kenya,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,Thermal IPPs under PPAs; KenGen/KPLC regulated; no merchant.,https://energyandpetroleum.go.ke/downloads/,IPP PPAs with KPLC; KenGen regulated—policy docs available from ministry site.,validated
Nigeria,Nigeria,Nigeria,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,"NBET-backed PPAs (capacity + energy), gas pass-through.",https://nbet.com.ng/pdf/BROWNFIELD.pdf,NBET form PPA shows capacity and energy payments to IPPs.,validated
Ghana,Ghana,Ghana,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Thermal IPPs with take-or-pay tolling/availability PPAs.,https://energyforgrowth.org/wp-content/uploads/2021/03/A-Case-Study-of-Ghanas-Power-Purchase-Agreements.pdf,Case study documents take-or-pay PPAs with capacity & energy charges.,validated
Ivory Coast,Côte d'Ivoire,Côte d'Ivoire,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Azito/CIPREL IPPs under long-term PPAs.,https://www.azitoenergie.com/en/azito-thermal-plant,Azito IPP under long-term PPA; confirms PPA regime.,validated
Senegal,Senegal,Senegal,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Thermal IPPs under PPAs with SENELEC.,https://www.senelec.sn/,SENELEC as buyer; IPPs under PPAs (project docs on SENELEC site).,validated
Cameroon,Cameroon,Cameroon,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Concessions/IPPs sell under PPAs.,,,needs_source
Angola,Angola,Angola,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,SOE cost-of-service; limited IPP program.,,,needs_source
India,India,India,True,True,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,SOE regulated fleet; private IPPs under PPAs; exchanges provide limited merchant.,https://www.cercind.gov.in/2024/market_monitoring/Annual%20Report%202023-24.pdf,CERC Annual Report FY23–24 shows short-term/exchanges are a small share; bulk under PPAs/regulated.,validated
Pakistan,Pakistan,Pakistan,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,"IPP PPAs with capacity payments, take-or-pay, fuel pass-through.",https://www.ppib.gov.pk/policies/Power%20Generation%20Policy%202015%20small.pdf,"Power Generation Policy 2015: two-part tariff (Capacity + Energy), take-or-pay for IPPs.",validated
Bangladesh,Bangladesh,Bangladesh,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,CCGT/HFO IPPs under availability PPAs; sovereign support.,,,needs_source
Sri Lanka,Sri Lanka,Sri Lanka,False,True,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,CEB-owned thermal regulated; IPP PPAs for some plants.,,,needs_source
Indonesia,Indonesia,Indonesia,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,IPPs sell to PLN under availability PPAs; PLN fleet regulated.,https://web.pln.co.id/statics/uploads/2017/05/Buku-IPP.pdf,PLN IPP guide explains PPA framework with availability/capacity features.,validated
Vietnam,Vietnam,Vietnam,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,Thermal BOT/IPP PPAs with EVN; EVN plants effectively regulated.,https://ppp.worldbank.org/library/vietnam-sample-power-purchase-agreement,World Bank sample BOT PPA with EVN (capacity + energy structure).,validated
Thailand,Thailand,Thailand,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Gas IPPs/SPPs under EGAT PPAs (availability).,https://www.egat.co.th/en/electricity-generation/independent-power-producers-ipps/,EGAT explains IPP model with Availability Payment and Energy Payment.,validated
Malaysia,Malaysia,Malaysia,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Gas/coal IPPs under PPAs to TNB/SESB.,,IPP PPAs with TNB include availability/capacity elements (source to be added).,needs_source
Philippines,Philippines,Philippines,True,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,WESM spot exists; many thermal units have PSAs; some merchant exposure.,https://www.wesm.ph/library/downloads/view-download/documents/market-rules-and-market-manuals-for-5-min-market/market-rules-and-manuals,Official WESM rules/manuals establish the spot market; many plants also have PSAs.,validated
Jordan,Jordan,Jordan,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Tolling/availability PPAs with NEPCO.,https://www.ebrd.com/content/dam/ebrd_dxp/documents/project/53334/board-report.pdf,EBRD report notes NEPCO PPAs with capacity and energy payments.,validated
Egypt,Egypt,Egypt,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,IPP/IWPP availability PPAs; EEHC-owned plants regulated.,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2018/Oct/IRENA_Outlook_Egypt_2018_En.pdf,Describes BOO/IPP schemes with PPAs alongside SOE dominance.,validated
Morocco,Morocco,Morocco,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Thermal IPPs under long-term PPAs with ONEE.,https://aln.africa/wp-content/uploads/2024/06/Morocco-Power-Guide-2024.pdf,States ONEE as single buyer purchasing from IPPs under PPAs.,validated
Saudi Arabia,Saudi Arabia,Saudi Arabia,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,IPP/PPP availability PPAs; SOE assets effectively regulated.,https://moenergy.gov.sa/en/electricity,IPP/PPP projects with long-term availability-based PPAs (official framework).,validated
United Arab Emirates,United Arab Emirates,United Arab Emirates,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,IWPPs with capacity payments; SOE cost-of-service elements.,https://www.adpower.ae/en/our-business/iwpp-model,IWPP model in Abu Dhabi with availability payments (water & power).,validated
Qatar,Qatar,Qatar,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,IWPP availability PPAs; state support; regulated SOE elements.,,,needs_source
Oman,Oman,Oman,False,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,IWPPs under availability PPAs.,,,needs_source
Kuwait,Kuwait,Kuwait,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,IWPP/IPP program; SOE generation regulated.,,,needs_source
Brazil,Brazil,Brazil,True,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Auctioned contracts dominate; ACL free market enables merchant/C&I exposure.,https://ri.energisa.com.br/en/setor-eletrico-brasileiro/,Explains dual environments: ACR (auctioned PPAs) and ACL (free market).,validated
Chile,Chile,Chile,True,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Auction PPAs + liquid spot; capacity payments; merchant exposure for some units.,https://energia.gob.cl/,Chile's contracting + capacity payment framework; liquid spot settlement.,validated
Colombia,Colombia,Colombia,True,True,False,ppa,SBM,Single Buyer Model (SBM),2,,,Spot + bilaterals; Firm Energy Obligations (capacity) top-up.,https://www.creg.gov.co/,CREG framework including Reliability Charge (Firm Energy Obligations).,validated
Mexico,Mexico,Mexico,True,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,Legacy CFE cost-of-service + IPP PPAs; WEM (policy shifts) allowed merchant exposure.,https://www.cenace.gob.mx/,CENACE MEM pages/manuals (wholesale market operation).,validated
Argentina,Argentina,Argentina,True,True,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,MEM spot + CAMMESA-admin contracts; cost-plus/administrative elements prevalent.,,,needs_source
Turkey,Turkey,Turkey,True,True,False,market,WC,Wholesale competition (WC),3,,,Spot + bilaterals; capacity mechanism for selected plants.,https://www.epias.com.tr/en/day-ahead-market/,EPIAŞ official pages for Day-Ahead/Intraday confirm functioning spot (merchant exposure).,validated
Ukraine,Ukraine,Ukraine,False,True,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Current conditions atypical; historically cost-plus elements.,,,needs_source
Kazakhstan,Kazakhstan,Kazakhstan,True,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Capacity remuneration + admin pricing; day-ahead exists but generation largely regulated.,,,needs_source
Uzbekistan,Uzbekistan,Uzbekistan,False,True,True,ppa,SBM,Single Buyer Model (SBM),2,,,New BOO CCGTs under sovereign-backed availability PPAs; SOE fleet regulated.,https://www.mift.uz/en/invest/investment-projects/energy,Recent BOO CCGTs under sovereign-backed availability PPAs.,validated
Algeria,Algeria,Algeria,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Benin,Benin,Benin,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Burkina Faso,Burkina Faso,Burkina Faso,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Burundi,Burundi,Burundi,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Central African Republic,Central African Republic,Central African Rep.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Chad,Chad,Chad,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
"Congo, the Democratic Republic of the",Democratic Republic of Congo,Dem. Rep. Congo,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Djibouti,Djibouti,Djibouti,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Equatorial Guinea,Equatorial Guinea,Eq. Guinea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Eritrea,Eritrea,Eritrea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Eswatini,Eswatini,eSwatini,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Ethiopia,Ethiopia,Ethiopia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Gabon,Gabon,Gabon,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Gambia,Gambia,Gambia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Guinea,Guinea,Guinea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Lesotho,Lesotho,Lesotho,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Liberia,Liberia,Liberia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Libya,Libya,Libya,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Malawi,Malawi,Malawi,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Mali,Mali,Mali,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Mauritania,Mauritania,Mauritania,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Niger,Niger,Niger,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Congo,Republic of Congo,Congo,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Rwanda,Rwanda,Rwanda,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Sierra Leone,Sierra Leone,Sierra Leone,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Somalia,Somalia,Somalia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
South Sudan,South Sudan,South Sudan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Sudan,Sudan,Sudan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Tanzania,Tanzania,Tanzania,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Togo,Togo,Togo,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Tunisia,Tunisia,Tunisia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Uganda,Uganda,Uganda,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Zimbabwe,Zimbabwe,Zimbabwe,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Cambodia,Cambodia,Cambodia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Laos,Laos,Laos,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Myanmar,Myanmar,Myanmar,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
South Korea,South Korea,South Korea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Taiwan,Taiwan,Taiwan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Papua New Guinea,Papua New Guinea,Papua New Guinea,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Bolivia,Bolivia,Bolivia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Ecuador,Ecuador,Ecuador,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Paraguay,Paraguay,Paraguay,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Peru,Peru,Peru,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Uruguay,Uruguay,Uruguay,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Venezuela,Venezuela,Venezuela,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Regime TBD,,,needs_source
Afghanistan,Afghanistan,Afghanistan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Albania,Albania,Albania,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
American Samoa,American Samoa,American Samoa,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Andorra,Andorra,Andorra,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Anguilla,Anguilla,Anguilla,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Antarctica,Antarctica,Antarctica,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Armenia,Armenia,Armenia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Aruba,Aruba,Aruba,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Australia,Australia,Australia,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Austria,Austria,Austria,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Azerbaijan,Azerbaijan,Azerbaijan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bahamas,Bahamas,Bahamas,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bahrain,Bahrain,Bahrain,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Barbados,Barbados,Barbados,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Belarus,Belarus,Belarus,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Belgium,Belgium,Belgium,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Belize,Belize,Belize,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bermuda,Bermuda,Bermuda,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bhutan,Bhutan,Bhutan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Bolivia,"Bolivia, Plurinational State of",Bolivia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
