Country,Country_original,Country_NE,Has_Market,Has_PPA,Has_Regulated,PrimaryBucket,WB_Family_Code,WB_Family_Label,WB_Family_GroupNumber,WB_Subcode_10type,WB_Subtype_Label,Notes,RegimeEvidenceURL,RegimeEvidenceNote,ValidationStatus
Malta,Malta,Malta,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Marshall Islands,Marshall Islands,Marshall Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Martinique,Martinique,Martinique,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Mauritius,Mauritius,Mauritius,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Mayotte,Mayotte,Mayotte,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Micronesia,"Micronesia, Federated States of",Micronesia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Moldova,"Moldova, Republic of",Moldova,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Monaco,Monaco,Monaco,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Mongolia,Mongolia,Mongolia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Montenegro,Montenegro,Montenegro,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Montserrat,Montserrat,Montserrat,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Nauru,Nauru,Nauru,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Nepal,Nepal,Nepal,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Netherlands,Netherlands,Netherlands,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
New Caledonia,New Caledonia,New Caledonia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
New Zealand,New Zealand,New Zealand,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Nicaragua,Nicaragua,Nicaragua,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Niue,Niue,Niue,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Norfolk Island,Norfolk Island,Norfolk Island,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
North Macedonia,North Macedonia,North Macedonia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Northern Mariana Islands,Northern Mariana Islands,N. Mariana Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Norway,Norway,Norway,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Palau,Palau,Palau,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
"Palestine, State of","Palestine, State of",Palestine,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Panama,Panama,Panama,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Pitcairn,Pitcairn,Pitcairn,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Poland,Poland,Poland,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Portugal,Portugal,Portugal,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Puerto Rico,Puerto Rico,Puerto Rico,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Romania,Romania,Romania,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Russia,Russian Federation,Russia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Reunion,Réunion,Réunion,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Saint Barthelemy,Saint Barthélemy,Saint Barthélemy,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",Saint Helena,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Saint Lucia,Saint Lucia,Saint Lucia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Saint Martin (French part),Saint Martin (French part),St-Martin,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint Pierre and Miquelon,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Samoa,Samoa,Samoa,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
San Marino,San Marino,San Marino,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Sao Tome and Principe,Sao Tome and Principe,São Tomé and Principe,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Serbia,Serbia,Serbia,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Seychelles,Seychelles,Seychelles,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Singapore,Singapore,Singapore,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Slovakia,Slovakia,Slovakia,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Slovenia,Slovenia,Slovenia,True,True,True,market,WC,Wholesale competition (WC),3,,,Default: treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Solomon Islands,Solomon Islands,Solomon Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,S. Geo. and the Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Spain,Spain,Spain,True,True,True,market,WC,Wholesale competition (WC),3,,,Treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Suriname,Suriname,Suriname,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Svalbard and Jan Mayen,Svalbard and Jan Mayen,Svalbard and Jan Mayen,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Default placeholder: treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Sweden,Sweden,Sweden,True,True,True,market,WC,Wholesale competition (WC),3,,,Treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Switzerland,Switzerland,Switzerland,True,True,True,market,WC,Wholesale competition (WC),3,,,Treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Syria,Syrian Arab Republic,Syria,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Taiwan,"Taiwan, Province of China",Taiwan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Tajikistan,Tajikistan,Tajikistan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Tanzania,"Tanzania, United Republic of",Tanzania,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
East Timor,Timor-Leste,Timor-Leste,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Tokelau,Tokelau,Tokelau,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Tonga,Tonga,Tonga,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Turkmenistan,Turkmenistan,Turkmenistan,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Tuvalu,Tuvalu,Tuvalu,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
United Kingdom,United Kingdom,United Kingdom,True,True,True,market,WC,Wholesale competition (WC),3,,,Treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
United States,United States,United States of America,True,True,True,market,WC,Wholesale competition (WC),3,,,Treated as liberalised wholesale electricity market with market-plus-contract fossil revenue regime; requires country-specific regulatory evidence before use in analysis.,,,needs_source
United States Minor Outlying Islands,United States Minor Outlying Islands,United States Minor Outlying Islands,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Vanuatu,Vanuatu,Vanuatu,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Venezuela,"Venezuela, Bolivarian Republic of",Venezuela,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Vietnam,Viet Nam,Vietnam,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
"Virgin Islands, British","Virgin Islands, British",British Virgin Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
"Virgin Islands, U.S.","Virgin Islands, U.S.",U.S. Virgin Is.,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Western Sahara,Western Sahara,Western Sahara,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Yemen,Yemen,Yemen,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
Aland Islands,Åland Islands,Åland,False,False,True,regulated,VIU,Vertically Integrated Utility (VIU),1,,,Treated as regulated / single-buyer fossil regime for FFRM; requires country-specific regulatory evidence before use in analysis.,,,needs_source
